"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"2022"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";;;"Branca";;;"Preta";;;"Amarela";;;"Parda";;;"Indígena"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Rio de Janeiro";"15 anos";"197215";"100117";"97098";"74231";"36734";"37497";"30856";"15854";"15002";"175";"84";"91";"91824";"47374";"44450";"128";"70";"58"
"Rio de Janeiro";"16 anos";"199537";"101781";"97756";"75196";"37508";"37688";"32369";"16768";"15601";"208";"100";"108";"91616";"47327";"44289";"143";"75";"68"
"Rio de Janeiro";"17 anos";"203718";"103646";"100072";"76258";"37985";"38273";"34284";"17590";"16694";"210";"98";"112";"92809";"47891";"44918";"153";"79";"74"
"Rio de Janeiro";"18 anos";"209346";"106355";"102991";"78468";"38637";"39831";"36626";"18838";"17788";"247";"116";"131";"93820";"48670";"45150";"179";"94";"85"
"Rio de Janeiro";"19 anos";"202162";"102040";"100122";"75845";"37350";"38495";"35941";"18195";"17746";"258";"112";"146";"89942";"46301";"43641";"171";"79";"92"
"Rio de Janeiro";"20 a 24 anos";"1149011";"570077";"578934";"436394";"211529";"224865";"211266";"106839";"104427";"1388";"592";"796";"498997";"250627";"248370";"935";"472";"463"
"Rio de Janeiro";"20 anos";"211563";"105684";"105879";"79607";"38527";"41080";"38189";"19439";"18750";"239";"105";"134";"93357";"47523";"45834";"165";"87";"78"
"Rio de Janeiro";"21 anos";"219847";"109353";"110494";"83833";"40886";"42947";"40107";"20228";"19879";"243";"96";"147";"95492";"48055";"47437";"164";"84";"80"
"Rio de Janeiro";"22 anos";"250707";"124788";"125919";"95058";"46010";"49048";"46248";"23426";"22822";"308";"130";"178";"108880";"55124";"53756";"206";"94";"112"
"Rio de Janeiro";"23 anos";"236386";"116587";"119799";"89433";"43209";"46224";"43613";"22002";"21611";"285";"120";"165";"102827";"51139";"51688";"223";"113";"110"
"Rio de Janeiro";"24 anos";"230508";"113665";"116843";"88463";"42897";"45566";"43109";"21744";"21365";"313";"141";"172";"98441";"48786";"49655";"177";"94";"83"
