"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"2022"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";;;"Branca";;;"Preta";;;"Amarela";;;"Parda";;;"Indígena"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Cambuci (RJ)";"15 a 19 anos";"901";"458";"443";"384";"176";"208";"112";"60";"52";"-";"-";"-";"405";"222";"183";"-";"-";"-"
"Cambuci (RJ)";"15 anos";"152";"77";"75";"76";"32";"44";"13";"9";"4";"-";"-";"-";"63";"36";"27";"-";"-";"-"
"Cambuci (RJ)";"16 anos";"190";"103";"87";"79";"35";"44";"28";"15";"13";"-";"-";"-";"83";"53";"30";"-";"-";"-"
"Cambuci (RJ)";"17 anos";"192";"106";"86";"86";"48";"38";"17";"10";"7";"-";"-";"-";"89";"48";"41";"-";"-";"-"
"Cambuci (RJ)";"18 anos";"191";"84";"107";"76";"29";"47";"25";"11";"14";"-";"-";"-";"90";"44";"46";"-";"-";"-"
"Cambuci (RJ)";"19 anos";"176";"88";"88";"67";"32";"35";"29";"15";"14";"-";"-";"-";"80";"41";"39";"-";"-";"-"
"Cambuci (RJ)";"20 a 24 anos";"957";"515";"442";"426";"214";"212";"133";"72";"61";"-";"-";"-";"398";"229";"169";"-";"-";"-"
"Cambuci (RJ)";"20 anos";"168";"90";"78";"76";"33";"43";"21";"12";"9";"-";"-";"-";"71";"45";"26";"-";"-";"-"
"Cambuci (RJ)";"21 anos";"201";"112";"89";"92";"48";"44";"30";"13";"17";"-";"-";"-";"79";"51";"28";"-";"-";"-"
"Cambuci (RJ)";"22 anos";"200";"98";"102";"96";"47";"49";"27";"9";"18";"-";"-";"-";"77";"42";"35";"-";"-";"-"
"Cambuci (RJ)";"23 anos";"187";"106";"81";"91";"50";"41";"19";"11";"8";"-";"-";"-";"77";"45";"32";"-";"-";"-"
"Cambuci (RJ)";"24 anos";"201";"109";"92";"71";"36";"35";"36";"27";"9";"-";"-";"-";"94";"46";"48";"-";"-";"-"
"Cambuci (RJ)";"25 a 29 anos";"847";"419";"428";"366";"180";"186";"120";"53";"67";"-";"-";"-";"360";"186";"174";"1";"-";"1"
"Cambuci (RJ)";"25 anos";"177";"82";"95";"73";"38";"35";"32";"10";"22";"-";"-";"-";"72";"34";"38";"-";"-";"-"
"Cambuci (RJ)";"26 anos";"179";"84";"95";"82";"34";"48";"23";"10";"13";"-";"-";"-";"74";"40";"34";"-";"-";"-"
"Cambuci (RJ)";"27 anos";"159";"87";"72";"76";"39";"37";"17";"10";"7";"-";"-";"-";"65";"38";"27";"1";"-";"1"
"Cambuci (RJ)";"28 anos";"194";"98";"96";"68";"36";"32";"32";"16";"16";"-";"-";"-";"94";"46";"48";"-";"-";"-"
"Cambuci (RJ)";"29 anos";"138";"68";"70";"67";"33";"34";"16";"7";"9";"-";"-";"-";"55";"28";"27";"-";"-";"-"
"Cambuci (RJ)";"30 a 34 anos";"910";"463";"447";"407";"203";"204";"121";"62";"59";"-";"-";"-";"382";"198";"184";"-";"-";"-"
"Cambuci (RJ)";"30 anos";"193";"100";"93";"96";"45";"51";"20";"9";"11";"-";"-";"-";"77";"46";"31";"-";"-";"-"
"Cambuci (RJ)";"31 anos";"178";"97";"81";"92";"53";"39";"22";"14";"8";"-";"-";"-";"64";"30";"34";"-";"-";"-"
"Cambuci (RJ)";"32 anos";"180";"98";"82";"70";"41";"29";"30";"18";"12";"-";"-";"-";"80";"39";"41";"-";"-";"-"
"Cambuci (RJ)";"33 anos";"174";"78";"96";"73";"34";"39";"28";"11";"17";"-";"-";"-";"73";"33";"40";"-";"-";"-"
"Cambuci (RJ)";"34 anos";"185";"90";"95";"76";"30";"46";"21";"10";"11";"-";"-";"-";"88";"50";"38";"-";"-";"-"
"Cambuci (RJ)";"35 a 39 anos";"1021";"471";"550";"399";"175";"224";"167";"76";"91";"-";"-";"-";"455";"220";"235";"-";"-";"-"
"Cambuci (RJ)";"35 anos";"211";"107";"104";"85";"47";"38";"37";"16";"21";"-";"-";"-";"89";"44";"45";"-";"-";"-"
"Cambuci (RJ)";"36 anos";"178";"77";"101";"65";"25";"40";"31";"13";"18";"-";"-";"-";"82";"39";"43";"-";"-";"-"
"Cambuci (RJ)";"37 anos";"209";"97";"112";"83";"38";"45";"33";"16";"17";"-";"-";"-";"93";"43";"50";"-";"-";"-"
"Cambuci (RJ)";"38 anos";"222";"103";"119";"95";"40";"55";"31";"14";"17";"-";"-";"-";"96";"49";"47";"-";"-";"-"
"Cambuci (RJ)";"39 anos";"201";"87";"114";"71";"25";"46";"35";"17";"18";"-";"-";"-";"95";"45";"50";"-";"-";"-"
"Cambuci (RJ)";"40 a 44 anos";"1103";"542";"561";"479";"241";"238";"170";"77";"93";"1";"-";"1";"453";"224";"229";"-";"-";"-"
"Cambuci (RJ)";"40 anos";"249";"118";"131";"105";"47";"58";"38";"20";"18";"-";"-";"-";"106";"51";"55";"-";"-";"-"
"Cambuci (RJ)";"41 anos";"194";"100";"94";"80";"42";"38";"33";"14";"19";"-";"-";"-";"81";"44";"37";"-";"-";"-"
"Cambuci (RJ)";"42 anos";"210";"102";"108";"99";"55";"44";"26";"9";"17";"-";"-";"-";"85";"38";"47";"-";"-";"-"
"Cambuci (RJ)";"43 anos";"234";"117";"117";"101";"54";"47";"41";"20";"21";"1";"-";"1";"91";"43";"48";"-";"-";"-"
"Cambuci (RJ)";"44 anos";"216";"105";"111";"94";"43";"51";"32";"14";"18";"-";"-";"-";"90";"48";"42";"-";"-";"-"
"Cambuci (RJ)";"45 a 49 anos";"1007";"497";"510";"462";"208";"254";"165";"79";"86";"-";"-";"-";"380";"210";"170";"-";"-";"-"
"Cambuci (RJ)";"45 anos";"210";"104";"106";"93";"43";"50";"46";"17";"29";"-";"-";"-";"71";"44";"27";"-";"-";"-"
"Cambuci (RJ)";"46 anos";"233";"113";"120";"115";"49";"66";"30";"17";"13";"-";"-";"-";"88";"47";"41";"-";"-";"-"
"Cambuci (RJ)";"47 anos";"195";"95";"100";"85";"36";"49";"37";"16";"21";"-";"-";"-";"73";"43";"30";"-";"-";"-"
"Cambuci (RJ)";"48 anos";"163";"87";"76";"63";"30";"33";"26";"16";"10";"-";"-";"-";"74";"41";"33";"-";"-";"-"
"Cambuci (RJ)";"49 anos";"206";"98";"108";"106";"50";"56";"26";"13";"13";"-";"-";"-";"74";"35";"39";"-";"-";"-"
"Cambuci (RJ)";"50 a 54 anos";"1083";"517";"566";"512";"235";"277";"150";"73";"77";"1";"-";"1";"420";"209";"211";"-";"-";"-"
"Cambuci (RJ)";"50 anos";"230";"108";"122";"104";"44";"60";"40";"25";"15";"-";"-";"-";"86";"39";"47";"-";"-";"-"
"Cambuci (RJ)";"51 anos";"207";"89";"118";"106";"45";"61";"27";"9";"18";"-";"-";"-";"74";"35";"39";"-";"-";"-"
"Cambuci (RJ)";"52 anos";"220";"104";"116";"97";"47";"50";"22";"5";"17";"-";"-";"-";"101";"52";"49";"-";"-";"-"
"Cambuci (RJ)";"53 anos";"225";"114";"111";"110";"52";"58";"33";"18";"15";"1";"-";"1";"81";"44";"37";"-";"-";"-"
"Cambuci (RJ)";"54 anos";"201";"102";"99";"95";"47";"48";"28";"16";"12";"-";"-";"-";"78";"39";"39";"-";"-";"-"
"Cambuci (RJ)";"55 a 59 anos";"1077";"512";"565";"474";"206";"268";"147";"79";"68";"-";"-";"-";"456";"227";"229";"-";"-";"-"
"Cambuci (RJ)";"55 anos";"227";"99";"128";"106";"46";"60";"42";"18";"24";"-";"-";"-";"79";"35";"44";"-";"-";"-"
"Cambuci (RJ)";"56 anos";"218";"117";"101";"95";"46";"49";"24";"13";"11";"-";"-";"-";"99";"58";"41";"-";"-";"-"
"Cambuci (RJ)";"57 anos";"204";"98";"106";"88";"38";"50";"31";"19";"12";"-";"-";"-";"85";"41";"44";"-";"-";"-"
"Cambuci (RJ)";"58 anos";"224";"104";"120";"99";"40";"59";"22";"14";"8";"-";"-";"-";"103";"50";"53";"-";"-";"-"
"Cambuci (RJ)";"59 anos";"204";"94";"110";"86";"36";"50";"28";"15";"13";"-";"-";"-";"90";"43";"47";"-";"-";"-"
"Cambuci (RJ)";"60 a 64 anos";"975";"489";"486";"480";"240";"240";"121";"60";"61";"-";"-";"-";"374";"189";"185";"-";"-";"-"
"Cambuci (RJ)";"60 anos";"195";"101";"94";"93";"47";"46";"27";"10";"17";"-";"-";"-";"75";"44";"31";"-";"-";"-"
"Cambuci (RJ)";"61 anos";"201";"95";"106";"98";"49";"49";"19";"8";"11";"-";"-";"-";"84";"38";"46";"-";"-";"-"
"Cambuci (RJ)";"62 anos";"209";"114";"95";"104";"56";"48";"27";"17";"10";"-";"-";"-";"78";"41";"37";"-";"-";"-"
"Cambuci (RJ)";"63 anos";"191";"85";"106";"94";"40";"54";"27";"16";"11";"-";"-";"-";"70";"29";"41";"-";"-";"-"
"Cambuci (RJ)";"64 anos";"179";"94";"85";"91";"48";"43";"21";"9";"12";"-";"-";"-";"67";"37";"30";"-";"-";"-"
"Cambuci (RJ)";"65 a 69 anos";"819";"401";"418";"406";"197";"209";"99";"47";"52";"-";"-";"-";"312";"156";"156";"2";"1";"1"
"Cambuci (RJ)";"65 anos";"161";"86";"75";"80";"37";"43";"20";"10";"10";"-";"-";"-";"61";"39";"22";"-";"-";"-"
"Cambuci (RJ)";"66 anos";"167";"91";"76";"80";"46";"34";"24";"13";"11";"-";"-";"-";"61";"31";"30";"2";"1";"1"
"Cambuci (RJ)";"67 anos";"161";"72";"89";"82";"38";"44";"20";"8";"12";"-";"-";"-";"59";"26";"33";"-";"-";"-"
"Cambuci (RJ)";"68 anos";"164";"80";"84";"78";"39";"39";"20";"11";"9";"-";"-";"-";"66";"30";"36";"-";"-";"-"
"Cambuci (RJ)";"69 anos";"166";"72";"94";"86";"37";"49";"15";"5";"10";"-";"-";"-";"65";"30";"35";"-";"-";"-"
"Cambuci (RJ)";"70 a 74 anos";"646";"304";"342";"330";"153";"177";"86";"46";"40";"-";"-";"-";"230";"105";"125";"-";"-";"-"
"Cambuci (RJ)";"70 anos";"145";"73";"72";"73";"36";"37";"19";"11";"8";"-";"-";"-";"53";"26";"27";"-";"-";"-"
"Cambuci (RJ)";"71 anos";"119";"53";"66";"64";"27";"37";"15";"5";"10";"-";"-";"-";"40";"21";"19";"-";"-";"-"
"Cambuci (RJ)";"72 anos";"133";"66";"67";"65";"34";"31";"26";"14";"12";"-";"-";"-";"42";"18";"24";"-";"-";"-"
"Cambuci (RJ)";"73 anos";"124";"60";"64";"70";"33";"37";"9";"5";"4";"-";"-";"-";"45";"22";"23";"-";"-";"-"
"Cambuci (RJ)";"74 anos";"125";"52";"73";"58";"23";"35";"17";"11";"6";"-";"-";"-";"50";"18";"32";"-";"-";"-"
"Cambuci (RJ)";"75 a 79 anos";"440";"219";"221";"242";"124";"118";"52";"21";"31";"-";"-";"-";"146";"74";"72";"-";"-";"-"
"Cambuci (RJ)";"75 anos";"109";"52";"57";"58";"32";"26";"13";"2";"11";"-";"-";"-";"38";"18";"20";"-";"-";"-"
"Cambuci (RJ)";"76 anos";"93";"46";"47";"51";"26";"25";"8";"4";"4";"-";"-";"-";"34";"16";"18";"-";"-";"-"
"Cambuci (RJ)";"77 anos";"84";"46";"38";"45";"22";"23";"13";"7";"6";"-";"-";"-";"26";"17";"9";"-";"-";"-"
"Cambuci (RJ)";"78 anos";"89";"45";"44";"48";"22";"26";"7";"5";"2";"-";"-";"-";"34";"18";"16";"-";"-";"-"
"Cambuci (RJ)";"79 anos";"65";"30";"35";"40";"22";"18";"11";"3";"8";"-";"-";"-";"14";"5";"9";"-";"-";"-"
"Cambuci (RJ)";"80 a 84 anos";"281";"135";"146";"167";"79";"88";"31";"14";"17";"-";"-";"-";"83";"42";"41";"-";"-";"-"
"Cambuci (RJ)";"80 anos";"63";"31";"32";"38";"17";"21";"6";"3";"3";"-";"-";"-";"19";"11";"8";"-";"-";"-"
"Cambuci (RJ)";"81 anos";"67";"30";"37";"43";"21";"22";"6";"1";"5";"-";"-";"-";"18";"8";"10";"-";"-";"-"
"Cambuci (RJ)";"82 anos";"61";"32";"29";"31";"17";"14";"10";"5";"5";"-";"-";"-";"20";"10";"10";"-";"-";"-"
"Cambuci (RJ)";"83 anos";"47";"23";"24";"29";"14";"15";"6";"4";"2";"-";"-";"-";"12";"5";"7";"-";"-";"-"
"Cambuci (RJ)";"84 anos";"43";"19";"24";"26";"10";"16";"3";"1";"2";"-";"-";"-";"14";"8";"6";"-";"-";"-"
"Cambuci (RJ)";"85 a 89 anos";"133";"62";"71";"85";"34";"51";"16";"11";"5";"-";"-";"-";"32";"17";"15";"-";"-";"-"
"Cambuci (RJ)";"85 anos";"32";"16";"16";"16";"7";"9";"7";"4";"3";"-";"-";"-";"9";"5";"4";"-";"-";"-"
"Cambuci (RJ)";"86 anos";"33";"18";"15";"22";"10";"12";"4";"3";"1";"-";"-";"-";"7";"5";"2";"-";"-";"-"
"Cambuci (RJ)";"87 anos";"26";"8";"18";"15";"2";"13";"2";"1";"1";"-";"-";"-";"9";"5";"4";"-";"-";"-"
"Cambuci (RJ)";"88 anos";"24";"10";"14";"19";"8";"11";"1";"1";"-";"-";"-";"-";"4";"1";"3";"-";"-";"-"
"Cambuci (RJ)";"89 anos";"18";"10";"8";"13";"7";"6";"2";"2";"-";"-";"-";"-";"3";"1";"2";"-";"-";"-"
"Cambuci (RJ)";"90 a 94 anos";"87";"38";"49";"50";"25";"25";"7";"1";"6";"-";"-";"-";"29";"11";"18";"1";"1";"-"
"Cambuci (RJ)";"90 anos";"23";"12";"11";"13";"9";"4";"2";"-";"2";"-";"-";"-";"8";"3";"5";"-";"-";"-"
"Cambuci (RJ)";"91 anos";"15";"5";"10";"12";"5";"7";"-";"-";"-";"-";"-";"-";"3";"-";"3";"-";"-";"-"
"Cambuci (RJ)";"92 anos";"22";"9";"13";"10";"3";"7";"3";"-";"3";"-";"-";"-";"8";"5";"3";"1";"1";"-"
"Cambuci (RJ)";"93 anos";"14";"7";"7";"9";"5";"4";"-";"-";"-";"-";"-";"-";"5";"2";"3";"-";"-";"-"
"Cambuci (RJ)";"94 anos";"13";"5";"8";"6";"3";"3";"2";"1";"1";"-";"-";"-";"5";"1";"4";"-";"-";"-"
"Cambuci (RJ)";"95 a 99 anos";"29";"11";"18";"16";"6";"10";"1";"-";"1";"-";"-";"-";"12";"5";"7";"-";"-";"-"
"Cambuci (RJ)";"95 anos";"9";"3";"6";"6";"2";"4";"-";"-";"-";"-";"-";"-";"3";"1";"2";"-";"-";"-"
"Cambuci (RJ)";"96 anos";"4";"1";"3";"2";"-";"2";"-";"-";"-";"-";"-";"-";"2";"1";"1";"-";"-";"-"
"Cambuci (RJ)";"97 anos";"8";"6";"2";"4";"3";"1";"-";"-";"-";"-";"-";"-";"4";"3";"1";"-";"-";"-"
"Cambuci (RJ)";"98 anos";"3";"1";"2";"2";"1";"1";"-";"-";"-";"-";"-";"-";"1";"-";"1";"-";"-";"-"
"Cambuci (RJ)";"99 anos";"5";"-";"5";"2";"-";"2";"1";"-";"1";"-";"-";"-";"2";"-";"2";"-";"-";"-"
"Cambuci (RJ)";"100 anos ou mais";"3";"1";"2";"2";"1";"1";"-";"-";"-";"-";"-";"-";"1";"-";"1";"-";"-";"-"
"Carapebus (RJ)";"Total";"13847";"6946";"6901";"4380";"2142";"2238";"1879";"945";"934";"9";"5";"4";"7563";"3846";"3717";"16";"8";"8"
"Carapebus (RJ)";"0 a 4 anos";"781";"398";"383";"317";"151";"166";"55";"33";"22";"-";"-";"-";"409";"214";"195";"-";"-";"-"
"Carapebus (RJ)";"Menos de 1 ano";"128";"74";"54";"50";"32";"18";"8";"7";"1";"-";"-";"-";"70";"35";"35";"-";"-";"-"
"Carapebus (RJ)";"Menos de 1 mês";"14";"12";"2";"6";"5";"1";"-";"-";"-";"-";"-";"-";"8";"7";"1";"-";"-";"-"
"Carapebus (RJ)";"1 mês";"10";"5";"5";"4";"3";"1";"-";"-";"-";"-";"-";"-";"6";"2";"4";"-";"-";"-"
"Carapebus (RJ)";"2 meses";"10";"3";"7";"5";"2";"3";"-";"-";"-";"-";"-";"-";"5";"1";"4";"-";"-";"-"
"Carapebus (RJ)";"3 meses";"15";"11";"4";"5";"4";"1";"1";"1";"-";"-";"-";"-";"9";"6";"3";"-";"-";"-"
"Carapebus (RJ)";"4 meses";"19";"12";"7";"8";"5";"3";"2";"2";"-";"-";"-";"-";"9";"5";"4";"-";"-";"-"
"Carapebus (RJ)";"5 meses";"13";"7";"6";"6";"4";"2";"2";"1";"1";"-";"-";"-";"5";"2";"3";"-";"-";"-"
"Carapebus (RJ)";"6 meses";"9";"5";"4";"6";"3";"3";"-";"-";"-";"-";"-";"-";"3";"2";"1";"-";"-";"-"
"Carapebus (RJ)";"7 meses";"6";"3";"3";"3";"2";"1";"-";"-";"-";"-";"-";"-";"3";"1";"2";"-";"-";"-"
"Carapebus (RJ)";"8 meses";"9";"3";"6";"2";"1";"1";"1";"1";"-";"-";"-";"-";"6";"1";"5";"-";"-";"-"
"Carapebus (RJ)";"9 meses";"10";"7";"3";"2";"1";"1";"2";"2";"-";"-";"-";"-";"6";"4";"2";"-";"-";"-"
"Carapebus (RJ)";"10 meses";"6";"3";"3";"2";"1";"1";"-";"-";"-";"-";"-";"-";"4";"2";"2";"-";"-";"-"
"Carapebus (RJ)";"11 meses";"7";"3";"4";"1";"1";"-";"-";"-";"-";"-";"-";"-";"6";"2";"4";"-";"-";"-"
"Carapebus (RJ)";"1 ano";"148";"90";"58";"63";"38";"25";"6";"5";"1";"-";"-";"-";"79";"47";"32";"-";"-";"-"
"Carapebus (RJ)";"2 anos";"160";"56";"104";"64";"15";"49";"9";"3";"6";"-";"-";"-";"87";"38";"49";"-";"-";"-"
"Carapebus (RJ)";"3 anos";"157";"75";"82";"68";"28";"40";"12";"8";"4";"-";"-";"-";"77";"39";"38";"-";"-";"-"
"Carapebus (RJ)";"4 anos";"188";"103";"85";"72";"38";"34";"20";"10";"10";"-";"-";"-";"96";"55";"41";"-";"-";"-"
"Carapebus (RJ)";"5 a 9 anos";"1013";"538";"475";"350";"187";"163";"87";"48";"39";"1";"1";"-";"574";"302";"272";"1";"-";"1"
"Carapebus (RJ)";"5 anos";"180";"93";"87";"74";"35";"39";"16";"10";"6";"-";"-";"-";"90";"48";"42";"-";"-";"-"
"Carapebus (RJ)";"6 anos";"185";"100";"85";"71";"37";"34";"8";"4";"4";"-";"-";"-";"105";"59";"46";"1";"-";"1"
"Carapebus (RJ)";"7 anos";"222";"116";"106";"73";"39";"34";"24";"11";"13";"-";"-";"-";"125";"66";"59";"-";"-";"-"
"Carapebus (RJ)";"8 anos";"207";"116";"91";"63";"38";"25";"20";"13";"7";"-";"-";"-";"124";"65";"59";"-";"-";"-"
"Carapebus (RJ)";"9 anos";"219";"113";"106";"69";"38";"31";"19";"10";"9";"1";"1";"-";"130";"64";"66";"-";"-";"-"
"Carapebus (RJ)";"10 a 14 anos";"995";"512";"483";"338";"168";"170";"115";"67";"48";"2";"1";"1";"539";"275";"264";"1";"1";"-"
"Carapebus (RJ)";"10 anos";"195";"111";"84";"59";"33";"26";"30";"19";"11";"-";"-";"-";"105";"58";"47";"1";"1";"-"
"Carapebus (RJ)";"11 anos";"206";"100";"106";"75";"36";"39";"19";"11";"8";"-";"-";"-";"112";"53";"59";"-";"-";"-"
"Carapebus (RJ)";"12 anos";"193";"105";"88";"64";"37";"27";"25";"17";"8";"-";"-";"-";"104";"51";"53";"-";"-";"-"
"Carapebus (RJ)";"13 anos";"203";"95";"108";"70";"32";"38";"26";"12";"14";"2";"1";"1";"105";"50";"55";"-";"-";"-"
"Carapebus (RJ)";"14 anos";"198";"101";"97";"70";"30";"40";"15";"8";"7";"-";"-";"-";"113";"63";"50";"-";"-";"-"
"Carapebus (RJ)";"15 a 19 anos";"988";"513";"475";"294";"154";"140";"127";"62";"65";"-";"-";"-";"565";"296";"269";"2";"1";"1"
"Carapebus (RJ)";"15 anos";"194";"122";"72";"57";"35";"22";"21";"12";"9";"-";"-";"-";"116";"75";"41";"-";"-";"-"
"Carapebus (RJ)";"16 anos";"214";"102";"112";"49";"27";"22";"30";"12";"18";"-";"-";"-";"134";"63";"71";"1";"-";"1"
"Carapebus (RJ)";"17 anos";"189";"93";"96";"68";"32";"36";"28";"16";"12";"-";"-";"-";"93";"45";"48";"-";"-";"-"
"Carapebus (RJ)";"18 anos";"211";"109";"102";"63";"35";"28";"30";"13";"17";"-";"-";"-";"118";"61";"57";"-";"-";"-"
"Carapebus (RJ)";"19 anos";"180";"87";"93";"57";"25";"32";"18";"9";"9";"-";"-";"-";"104";"52";"52";"1";"1";"-"
"Carapebus (RJ)";"20 a 24 anos";"872";"448";"424";"273";"141";"132";"146";"78";"68";"-";"-";"-";"453";"229";"224";"-";"-";"-"
"Carapebus (RJ)";"20 anos";"170";"90";"80";"56";"29";"27";"29";"17";"12";"-";"-";"-";"85";"44";"41";"-";"-";"-"
"Carapebus (RJ)";"21 anos";"144";"72";"72";"43";"23";"20";"21";"6";"15";"-";"-";"-";"80";"43";"37";"-";"-";"-"
"Carapebus (RJ)";"22 anos";"228";"118";"110";"69";"32";"37";"38";"21";"17";"-";"-";"-";"121";"65";"56";"-";"-";"-"
"Carapebus (RJ)";"23 anos";"164";"93";"71";"51";"30";"21";"31";"17";"14";"-";"-";"-";"82";"46";"36";"-";"-";"-"
"Carapebus (RJ)";"24 anos";"166";"75";"91";"54";"27";"27";"27";"17";"10";"-";"-";"-";"85";"31";"54";"-";"-";"-"
"Carapebus (RJ)";"25 a 29 anos";"941";"468";"473";"256";"120";"136";"152";"62";"90";"2";"1";"1";"530";"285";"245";"1";"-";"1"
"Carapebus (RJ)";"25 anos";"196";"106";"90";"60";"30";"30";"23";"9";"14";"1";"1";"-";"112";"66";"46";"-";"-";"-"
"Carapebus (RJ)";"26 anos";"195";"96";"99";"46";"23";"23";"33";"10";"23";"-";"-";"-";"116";"63";"53";"-";"-";"-"
"Carapebus (RJ)";"27 anos";"168";"83";"85";"38";"20";"18";"36";"17";"19";"1";"-";"1";"93";"46";"47";"-";"-";"-"
"Carapebus (RJ)";"28 anos";"209";"97";"112";"64";"27";"37";"32";"11";"21";"-";"-";"-";"112";"59";"53";"1";"-";"1"
"Carapebus (RJ)";"29 anos";"173";"86";"87";"48";"20";"28";"28";"15";"13";"-";"-";"-";"97";"51";"46";"-";"-";"-"
"Carapebus (RJ)";"30 a 34 anos";"941";"433";"508";"270";"117";"153";"143";"68";"75";"-";"-";"-";"527";"247";"280";"1";"1";"-"
"Carapebus (RJ)";"30 anos";"196";"99";"97";"54";"24";"30";"28";"16";"12";"-";"-";"-";"114";"59";"55";"-";"-";"-"
"Carapebus (RJ)";"31 anos";"171";"79";"92";"49";"24";"25";"25";"10";"15";"-";"-";"-";"96";"44";"52";"1";"1";"-"
"Carapebus (RJ)";"32 anos";"193";"83";"110";"62";"28";"34";"24";"13";"11";"-";"-";"-";"107";"42";"65";"-";"-";"-"
"Carapebus (RJ)";"33 anos";"227";"100";"127";"58";"24";"34";"38";"15";"23";"-";"-";"-";"131";"61";"70";"-";"-";"-"
"Carapebus (RJ)";"34 anos";"154";"72";"82";"47";"17";"30";"28";"14";"14";"-";"-";"-";"79";"41";"38";"-";"-";"-"
"Carapebus (RJ)";"35 a 39 anos";"1033";"491";"542";"292";"140";"152";"156";"78";"78";"2";"1";"1";"583";"272";"311";"-";"-";"-"
"Carapebus (RJ)";"35 anos";"189";"99";"90";"60";"29";"31";"28";"16";"12";"-";"-";"-";"101";"54";"47";"-";"-";"-"
"Carapebus (RJ)";"36 anos";"214";"98";"116";"64";"36";"28";"32";"14";"18";"1";"-";"1";"117";"48";"69";"-";"-";"-"
"Carapebus (RJ)";"37 anos";"185";"88";"97";"49";"26";"23";"21";"9";"12";"1";"1";"-";"114";"52";"62";"-";"-";"-"
"Carapebus (RJ)";"38 anos";"218";"101";"117";"56";"23";"33";"34";"19";"15";"-";"-";"-";"128";"59";"69";"-";"-";"-"
"Carapebus (RJ)";"39 anos";"227";"105";"122";"63";"26";"37";"41";"20";"21";"-";"-";"-";"123";"59";"64";"-";"-";"-"
"Carapebus (RJ)";"40 a 44 anos";"1042";"538";"504";"307";"156";"151";"182";"96";"86";"-";"-";"-";"552";"285";"267";"1";"1";"-"
"Carapebus (RJ)";"40 anos";"223";"114";"109";"68";"35";"33";"34";"18";"16";"-";"-";"-";"120";"60";"60";"1";"1";"-"
"Carapebus (RJ)";"41 anos";"217";"113";"104";"59";"29";"30";"43";"20";"23";"-";"-";"-";"115";"64";"51";"-";"-";"-"
"Carapebus (RJ)";"42 anos";"209";"107";"102";"68";"36";"32";"30";"17";"13";"-";"-";"-";"111";"54";"57";"-";"-";"-"
"Carapebus (RJ)";"43 anos";"200";"103";"97";"62";"31";"31";"37";"23";"14";"-";"-";"-";"101";"49";"52";"-";"-";"-"
"Carapebus (RJ)";"44 anos";"193";"101";"92";"50";"25";"25";"38";"18";"20";"-";"-";"-";"105";"58";"47";"-";"-";"-"
"Carapebus (RJ)";"45 a 49 anos";"1024";"502";"522";"302";"148";"154";"153";"71";"82";"-";"-";"-";"569";"283";"286";"-";"-";"-"
"Carapebus (RJ)";"45 anos";"204";"105";"99";"55";"28";"27";"31";"12";"19";"-";"-";"-";"118";"65";"53";"-";"-";"-"
"Carapebus (RJ)";"46 anos";"195";"96";"99";"57";"27";"30";"19";"9";"10";"-";"-";"-";"119";"60";"59";"-";"-";"-"
"Carapebus (RJ)";"47 anos";"209";"87";"122";"66";"28";"38";"33";"14";"19";"-";"-";"-";"110";"45";"65";"-";"-";"-"
"Carapebus (RJ)";"48 anos";"202";"97";"105";"51";"26";"25";"39";"17";"22";"-";"-";"-";"112";"54";"58";"-";"-";"-"
"Carapebus (RJ)";"49 anos";"214";"117";"97";"73";"39";"34";"31";"19";"12";"-";"-";"-";"110";"59";"51";"-";"-";"-"
"Carapebus (RJ)";"50 a 54 anos";"945";"460";"485";"275";"123";"152";"147";"68";"79";"1";"-";"1";"519";"268";"251";"3";"1";"2"
"Carapebus (RJ)";"50 anos";"203";"103";"100";"67";"31";"36";"34";"21";"13";"-";"-";"-";"101";"50";"51";"1";"1";"-"
"Carapebus (RJ)";"51 anos";"194";"86";"108";"57";"23";"34";"27";"10";"17";"-";"-";"-";"109";"53";"56";"1";"-";"1"
"Carapebus (RJ)";"52 anos";"203";"96";"107";"50";"19";"31";"33";"13";"20";"-";"-";"-";"119";"64";"55";"1";"-";"1"
"Carapebus (RJ)";"53 anos";"175";"80";"95";"47";"25";"22";"32";"9";"23";"1";"-";"1";"95";"46";"49";"-";"-";"-"
"Carapebus (RJ)";"54 anos";"170";"95";"75";"54";"25";"29";"21";"15";"6";"-";"-";"-";"95";"55";"40";"-";"-";"-"
"Carapebus (RJ)";"55 a 59 anos";"861";"430";"431";"276";"122";"154";"119";"59";"60";"-";"-";"-";"465";"248";"217";"1";"1";"-"
